Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2013,Female,-,-,-,29,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding both institutional population and armed forces and/or conscripts;
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2014,Female,-,-,-,24.8,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding both institutional population and armed forces and/or conscripts;
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2017,Female,-,-,-,27.6,-,-,Percentage,Country data,-,Employment definition: Including subsistence workers,Geographical coverage: Total national  excluding some areas
Proportion of women in managerial positions,Southern Asia,356,India,2000,Female,-,-,-,14,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas;,-
Proportion of women in managerial positions,Southern Asia,356,India,2005,Female,-,-,-,15.2,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas;,-
Proportion of women in managerial positions,Southern Asia,356,India,2010,Female,-,-,-,12.2,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;
Proportion of women in managerial positions,Southern Asia,356,India,2012,Female,-,-,-,12.9,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;
Proportion of women in managerial positions,Southern Asia,364,Iran (Islamic Republic of),2008,Female,-,-,-,13.3,-,-,Percentage,Country data,-,Age coverage - minimum age: 10 years old;,-
Proportion of women in managerial positions,Southern Asia,364,Iran (Islamic Republic of),2005,Female,-,-,-,16.2,-,-,Percentage,Country data,-,Age coverage - minimum age: 10 years old;,-
Proportion of women in managerial positions,Southern Asia,364,Iran (Islamic Republic of),2007,Female,-,-,-,13.3,-,-,Percentage,Country data,-,Age coverage - minimum age: 10 years old;,-
Proportion of women in managerial positions,Southern Asia,364,Iran (Islamic Republic of),2009,Female,-,-,-,11.8,-,-,Percentage,Country data,-,Population coverage: Excluding institutional population,Age coverage - minimum age: 10 years old;
Proportion of women in managerial positions,Southern Asia,364,Iran (Islamic Republic of),2010,Female,-,-,-,14.6,-,-,Percentage,Country data,-,Population coverage: Excluding institutional population,Age coverage - minimum age: 10 years old;
Proportion of women in managerial positions,Southern Asia,364,Iran (Islamic Republic of),2006,Female,-,-,-,14.6,-,-,Percentage,Country data,-,Age coverage - minimum age: 10 years old;,-
Proportion of women in managerial positions,Southern Asia,364,Iran (Islamic Republic of),2015,Female,-,-,-,16.4,-,-,Percentage,Country data,-,Population coverage: Excluding institutional population,Age coverage - minimum age: 10 years old;
Proportion of women in managerial positions,Southern Asia,364,Iran (Islamic Republic of),2014,Female,-,-,-,18.2,-,-,Percentage,Country data,-,Population coverage: Excluding institutional population,Age coverage - minimum age: 10 years old;
Proportion of women in managerial positions,Southern Asia,364,Iran (Islamic Republic of),2016,Female,-,-,-,17.3,-,-,Percentage,Country data,-,Population coverage: Excluding institutional population,Age coverage - minimum age: 10 years old;
Proportion of women in managerial positions,Southern Asia,364,Iran (Islamic Republic of),2017,Female,-,-,-,19,-,-,Percentage,Country data,-,Employment definition: Including subsistence workers,Population coverage: Excluding institutional population
Proportion of women in managerial positions,Southern Asia,462,Maldives,2000,Female,-,-,-,15.4,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts,Age coverage - minimum age: 12 years old;
Proportion of women in managerial positions,Southern Asia,462,Maldives,2014,Female,-,-,-,18.5,-,-,Percentage,Country data,-,Data reference period: September;,-
Proportion of women in managerial positions,Southern Asia,462,Maldives,2016,Female,-,-,-,19.6,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Employment definition: Excluding own-use production workers;
Proportion of women in managerial positions,Southern Asia,524,Nepal,2008,Female,-,-,-,18.8,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2003,Female,-,-,-,2.4,-,-,Percentage,Country data,-,Data reference period: January,Population coverage: Excluding armed forces and/or conscripts
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2008,Female,-,-,-,3,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2005,Female,-,-,-,2.1,-,-,Percentage,Country data,-,Data reference period: January,Population coverage: Excluding armed forces and/or conscripts
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2007,Female,-,-,-,3.4,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2009,Female,-,-,-,2.9,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2010,Female,-,-,-,3.3,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2001,Female,-,-,-,2.9,-,-,Percentage,Country data,-,Data reference period: January,Population coverage: Excluding armed forces and/or conscripts
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2004,Female,-,-,-,2.1,-,-,Percentage,Country data,-,Data reference period: January,Population coverage: Excluding armed forces and/or conscripts
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2006,Female,-,-,-,3.4,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;Break in series: Methodology revised
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2011,Female,-,-,-,3.3,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2002,Female,-,-,-,2.4,-,-,Percentage,Country data,-,Data reference period: January,Population coverage: Excluding armed forces and/or conscripts
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2013,Female,-,-,-,3,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2015,Female,-,-,-,2.9,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2014,Female,-,-,-,4.2,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Southern Asia,586,Pakistan,2016,Female,-,-,-,2.9,-,-,Percentage,Country data,-,Population coverage: Excluding both institutional population and armed forces and/or conscripts,Age coverage - minimum age: 10 years old
Proportion of women in managerial positions,Developed regions,8,Albania,2008,Female,-,-,-,23.7,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,8,Albania,2007,Female,-,-,-,20.5,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,8,Albania,2009,Female,-,-,-,22.5,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,8,Albania,2010,Female,-,-,-,19.1,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,8,Albania,2012,Female,-,-,-,16.1,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,8,Albania,2013,Female,-,-,-,31.9,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,8,Albania,2017,Female,-,-,-,22.6,-,-,Percentage,Country data,-,Employment definition: Excluding own-use production workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts;
Proportion of women in managerial positions,Developed regions,36,Australia,2003,Female,-,-,-,32.7,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2008,Female,-,-,-,35.5,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2000,Female,-,-,-,30,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2005,Female,-,-,-,34.4,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2007,Female,-,-,-,34.3,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2009,Female,-,-,-,35.5,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2010,Female,-,-,-,34.4,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2001,Female,-,-,-,31.8,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2004,Female,-,-,-,33.5,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2006,Female,-,-,-,34.3,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2011,Female,-,-,-,36.1,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2002,Female,-,-,-,32.2,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2012,Female,-,-,-,35.7,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2013,Female,-,-,-,35.8,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;,-
Proportion of women in managerial positions,Developed regions,36,Australia,2015,Female,-,-,-,37.6,-,-,Percentage,Country data,-,Data reference period: May,Geographical coverage: Total national  excluding overseas territories
Proportion of women in managerial positions,Developed regions,36,Australia,2014,Female,-,-,-,36.3,-,-,Percentage,Country data,-,Data reference period: May,Geographical coverage: Total national  excluding overseas territories
Proportion of women in managerial positions,Developed regions,36,Australia,2016,Female,-,-,-,36.6,-,-,Percentage,Country data,-,Data reference period: May,Geographical coverage: Total national  excluding overseas territories
Proportion of women in managerial positions,Developed regions,40,Austria,2003,Female,-,-,-,27.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2008,Female,-,-,-,28.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2000,Female,-,-,-,30.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2005,Female,-,-,-,26.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,40,Austria,2007,Female,-,-,-,26.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2009,Female,-,-,-,27.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2010,Female,-,-,-,28.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2001,Female,-,-,-,30.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2004,Female,-,-,-,26.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2006,Female,-,-,-,27.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2011,Female,-,-,-,27.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,40,Austria,2002,Female,-,-,-,29.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2012,Female,-,-,-,30.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2013,Female,-,-,-,29.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2015,Female,-,-,-,29.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2014,Female,-,-,-,30.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2016,Female,-,-,-,31.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,40,Austria,2017,Female,-,-,-,31.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2003,Female,-,-,-,29.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2008,Female,-,-,-,32.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2000,Female,-,-,-,32.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2005,Female,-,-,-,31.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2007,Female,-,-,-,33.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2009,Female,-,-,-,34,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2010,Female,-,-,-,34.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2001,Female,-,-,-,32.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2004,Female,-,-,-,29.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2006,Female,-,-,-,31.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2011,Female,-,-,-,29.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2002,Female,-,-,-,31.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2012,Female,-,-,-,32.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2013,Female,-,-,-,31.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2015,Female,-,-,-,32.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2014,Female,-,-,-,31.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2016,Female,-,-,-,32.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2017,Female,-,-,-,33.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,70,Bosnia and Herzegovina,2008,Female,-,-,-,23,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,70,Bosnia and Herzegovina,2007,Female,-,-,-,16.1,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,70,Bosnia and Herzegovina,2009,Female,-,-,-,25.3,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,70,Bosnia and Herzegovina,2010,Female,-,-,-,23.8,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,70,Bosnia and Herzegovina,2006,Female,-,-,-,20.8,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,70,Bosnia and Herzegovina,2011,Female,-,-,-,21.4,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,70,Bosnia and Herzegovina,2012,Female,-,-,-,24.2,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,70,Bosnia and Herzegovina,2015,Female,-,-,-,22,-,-,Percentage,Country data,-,Data reference period: April,Age coverage - maximum age: 64 years old;
Proportion of women in managerial positions,Developed regions,70,Bosnia and Herzegovina,2014,Female,-,-,-,24.2,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2003,Female,-,-,-,31.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2008,Female,-,-,-,32.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2000,Female,-,-,-,29.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2005,Female,-,-,-,34,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2007,Female,-,-,-,31.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2009,Female,-,-,-,32.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2010,Female,-,-,-,33.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2001,Female,-,-,-,32.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2004,Female,-,-,-,34.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2006,Female,-,-,-,31.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2011,Female,-,-,-,36.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2002,Female,-,-,-,33.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2012,Female,-,-,-,36.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2013,Female,-,-,-,36.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2015,Female,-,-,-,36.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2014,Female,-,-,-,36.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2016,Female,-,-,-,37.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2017,Female,-,-,-,39.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,112,Belarus,2009,Female,-,-,-,46.3,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,112,Belarus,2016,Female,-,-,-,46,-,-,Percentage,Country data,-,Population coverage: Excluding non-permanent residents,Institutional sector coverage: Private sector only
Proportion of women in managerial positions,Developed regions,112,Belarus,2017,Female,-,-,-,47.6,-,-,Percentage,Country data,-,Employment definition: Excluding own-use production workers,Population coverage: Excluding non-permanent residents
Proportion of women in managerial positions,Developed regions,124,Canada,2003,Female,-,-,-,35.7,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding indigenous population;
Proportion of women in managerial positions,Developed regions,124,Canada,2008,Female,-,-,-,36,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding indigenous population;Break in series: Methodology revised
Proportion of women in managerial positions,Developed regions,124,Canada,2000,Female,-,-,-,35.5,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding indigenous population;
Proportion of women in managerial positions,Developed regions,124,Canada,2005,Female,-,-,-,35.9,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding indigenous population;
Proportion of women in managerial positions,Developed regions,124,Canada,2007,Female,-,-,-,36.9,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding indigenous population;
Proportion of women in managerial positions,Developed regions,124,Canada,2009,Female,-,-,-,37,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas;,-
Proportion of women in managerial positions,Developed regions,124,Canada,2010,Female,-,-,-,36.8,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas;,-
Proportion of women in managerial positions,Developed regions,124,Canada,2001,Female,-,-,-,35,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding indigenous population;
Proportion of women in managerial positions,Developed regions,124,Canada,2004,Female,-,-,-,36.5,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding indigenous population;
Proportion of women in managerial positions,Developed regions,124,Canada,2006,Female,-,-,-,36.3,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding indigenous population;
Proportion of women in managerial positions,Developed regions,124,Canada,2011,Female,-,-,-,37.1,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas;,-
Proportion of women in managerial positions,Developed regions,124,Canada,2002,Female,-,-,-,34.1,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding indigenous population;
Proportion of women in managerial positions,Developed regions,124,Canada,2012,Female,-,-,-,36.4,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas;,-
Proportion of women in managerial positions,Developed regions,124,Canada,2013,Female,-,-,-,35.8,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas;,-
Proportion of women in managerial positions,Developed regions,124,Canada,2014,Female,-,-,-,35.5,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas;,-
Proportion of women in managerial positions,Developed regions,191,Croatia,2003,Female,-,-,-,24.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,191,Croatia,2008,Female,-,-,-,25.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
